"customer_id","name","gender","state","annual_income","credit_score","salary_ranking"
28348,"Anjali Malhotra","Male","Maharashtra","3499527",711,"high_income"
9614,"Pooja Rao","Female","Maharashtra","3497413",714,"high_income"
35635,"Jennifer Chatterjee","Male","Maharashtra","3497212",735,"high_income"
40637,"Ritu Williams","Male","Maharashtra","3496444",733,"high_income"
26486,"John Kapoor","Male","Maharashtra","3493695",811,"high_income"
13800,"Robert Verma","Female","Maharashtra","3493297",834,"high_income"
58042,"Sarah Williams","Female","Maharashtra","3492128",715,"high_income"
24293,"William Jones","Male","Maharashtra","3491489",732,"high_income"
29564,"Sneha Kumar","Male","Maharashtra","3491056",751,"high_income"
30943,"Charles Davis","Female","Maharashtra","3490808",802,"high_income"
